,Author,Pub,Type,Chunk
0,GPT-3.5,"[' In the landscape of cloud-based Large Language Models (LLMs), the array of sizes and configurations available presents a challenge in effectively balancing computational cost and performance optimization. This paper introduces AutoMix, an innovative approach designed to strategically route queries to larger LLMs based on the approximate correctness of outputs from a smaller LM. At its core, AutoMix incorporates a few-shot self-verification mechanism, allowing it to estimate the reliability of its own outputs without the need for additional training. To address the inherent noise in verifications, AutoMix employs a meta verifier, enhancing the accuracy of these assessments. Experimental results using LLAMA2-13/70B on five context-grounded reasoning datasets illustrate that AutoMix outperforms established baselines, yielding an up to 89% improvement in the incremental benefit per cost.']",abstract_chunked," In the landscape of cloud-based Large Language Models (LLMs), the array of sizes and configurations available presents a challenge in effectively balancing computational cost and performance optimization. This paper introduces AutoMix, an innovative approach designed to strategically route queries to larger LLMs based on the approximate correctness of outputs from a smaller LM. At its core, AutoMix incorporates a few-shot self-verification mechanism, allowing it to estimate the reliability of its own outputs without the need for additional training. To address the inherent noise in verifications, AutoMix employs a meta verifier, enhancing the accuracy of these assessments. Experimental results using LLAMA2-13/70B on five context-grounded reasoning datasets illustrate that AutoMix outperforms established baselines, yielding an up to 89% improvement in the incremental benefit per cost."
1,GPT-3.5,"[' Large Language Models (LLMs) often fall short in generating optimal outputs on their initial attempts. Drawing inspiration from the human iterative refinement process, we introduce SELF-REFINE, a novel approach for enhancing LLM outputs through iterative feedback and self-improvement. The core concept involves generating an initial output using an LLM, then utilizing the same model to provide feedback on its output and iteratively refine itself. This method requires no additional supervised training data, extra training, or reinforcement learning, relying solely on a single LLM to serve as the generator, refiner, and feedback provider. We assess SELF-REFINE across a diverse set of 7 tasks, spanning from dialog response generation to mathematical reasoning, employing state-of-the-art LLMs such as GPT-3.5 and GPT-4. The results demonstrate that outputs produced with SELF-REFINE are preferred by both human evaluators and automatic metrics compared to outputs generated using conventional one-step generation. On average, task performance improves by approximately 20% absolute across all evaluated tasks. Our findings underscore the potential for further enhancing even state-of-the-art LLMs, like GPT-4, at test-time through the adoption of our straightforward, standalone approach.']",abstract_chunked," Large Language Models (LLMs) often fall short in generating optimal outputs on their initial attempts. Drawing inspiration from the human iterative refinement process, we introduce SELF-REFINE, a novel approach for enhancing LLM outputs through iterative feedback and self-improvement. The core concept involves generating an initial output using an LLM, then utilizing the same model to provide feedback on its output and iteratively refine itself. This method requires no additional supervised training data, extra training, or reinforcement learning, relying solely on a single LLM to serve as the generator, refiner, and feedback provider. We assess SELF-REFINE across a diverse set of 7 tasks, spanning from dialog response generation to mathematical reasoning, employing state-of-the-art LLMs such as GPT-3.5 and GPT-4. The results demonstrate that outputs produced with SELF-REFINE are preferred by both human evaluators and automatic metrics compared to outputs generated using conventional one-step generation. On average, task performance improves by approximately 20% absolute across all evaluated tasks. Our findings underscore the potential for further enhancing even state-of-the-art LLMs, like GPT-4, at test-time through the adoption of our straightforward, standalone approach."
2,GPT-3.5,"["" Machine learning systems often lack the adaptive cognitive mechanisms observed in humans, employing a uniform model for both easy and challenging tasks. In contrast, humans engage in either fast (instinctive) or slow (analytical) thinking processes based on the problem's difficultyâ€”a phenomenon known as the dual-process theory of mind. In this paper, we introduce FLOWGEN, a graph generation model inspired by the dual-process theory. FLOWGEN adapts to the complexity of graph completion by employing either a FAST (weaker) or SLOW (stronger) module. While these modules share architectures, they differ in parameter count and generative power. Through experiments on real-world graphs, FLOWGEN demonstrates its ability to generate graphs comparable to those produced by a single large model, all while achieving up to a 2x speed improvement.""]",abstract_chunked," Machine learning systems often lack the adaptive cognitive mechanisms observed in humans, employing a uniform model for both easy and challenging tasks. In contrast, humans engage in either fast (instinctive) or slow (analytical) thinking processes based on the problem's difficultyâ€”a phenomenon known as the dual-process theory of mind. In this paper, we introduce FLOWGEN, a graph generation model inspired by the dual-process theory. FLOWGEN adapts to the complexity of graph completion by employing either a FAST (weaker) or SLOW (stronger) module. While these modules share architectures, they differ in parameter count and generative power. Through experiments on real-world graphs, FLOWGEN demonstrates its ability to generate graphs comparable to those produced by a single large model, all while achieving up to a 2x speed improvement."
3,GPT-3.5,"[' In this paper, we present an innovative method for curating high-quality comparable training data tailored for low-resource languages, employing monolingual annotators. Our approach centers around the strategic use of a meticulously chosen set of images, serving as a pivot between source and target languages. We independently collect captions for these images in both languages, thereby establishing a robust and comparable corpus. Human evaluations conducted on the English-Hindi comparable corpora generated through our method reveal a noteworthy 81.1% acceptability rate for translation pairs, with only 2.47% identified as non-translations. To underscore the utility of the dataset, we conduct experiments on two downstream tasksâ€”machine translation and dictionary extraction. The outcomes highlight the potential of our curated dataset. All code and data are openly accessible at https://github.com/madaan/PML4DC-Comparable-Data-Collection.']",abstract_chunked," In this paper, we present an innovative method for curating high-quality comparable training data tailored for low-resource languages, employing monolingual annotators. Our approach centers around the strategic use of a meticulously chosen set of images, serving as a pivot between source and target languages. We independently collect captions for these images in both languages, thereby establishing a robust and comparable corpus. Human evaluations conducted on the English-Hindi comparable corpora generated through our method reveal a noteworthy 81.1% acceptability rate for translation pairs, with only 2.47% identified as non-translations. To underscore the utility of the dataset, we conduct experiments on two downstream tasksâ€”machine translation and dictionary extraction. The outcomes highlight the potential of our curated dataset. All code and data are openly accessible at https://github.com/madaan/PML4DC-Comparable-Data-Collection."
4,GPT-3.5,"[' This paper introduces a novel task in the domain of natural language processing – the task of politeness transfer. The objective is to convert non-polite sentences into polite equivalents while retaining the original meaning. To facilitate research in this area, we present a comprehensive dataset comprising over 1.39 million instances, meticulously labeled for politeness. This dataset serves as a foundation for benchmark evaluations, encouraging advancements in politeness transfer techniques. Our proposed approach involves a tag-and-generate pipeline, which first identifies stylistic attributes and then generates a sentence in the target style while preserving the majority of the source content. Extensive experiments demonstrate that our model outperforms existing state-of-the-art methods on automatic metrics related to content preservation, achieving comparable or superior performance in style transfer accuracy. Moreover, our model excels in human evaluations, demonstrating superior grammaticality, meaning preservation, and transfer accuracy across not only the politeness transfer task but also five other style transfer tasks. The code and dataset are made publicly available, fostering collaboration and further research in this emerging field.']",abstract_chunked," This paper introduces a novel task in the domain of natural language processing – the task of politeness transfer. The objective is to convert non-polite sentences into polite equivalents while retaining the original meaning. To facilitate research in this area, we present a comprehensive dataset comprising over 1.39 million instances, meticulously labeled for politeness. This dataset serves as a foundation for benchmark evaluations, encouraging advancements in politeness transfer techniques. Our proposed approach involves a tag-and-generate pipeline, which first identifies stylistic attributes and then generates a sentence in the target style while preserving the majority of the source content. Extensive experiments demonstrate that our model outperforms existing state-of-the-art methods on automatic metrics related to content preservation, achieving comparable or superior performance in style transfer accuracy. Moreover, our model excels in human evaluations, demonstrating superior grammaticality, meaning preservation, and transfer accuracy across not only the politeness transfer task but also five other style transfer tasks. The code and dataset are made publicly available, fostering collaboration and further research in this emerging field."
5,GPT-3.5,"[' Understanding processes involves the critical task of reasoning about events and tracking their influences. In this paper, we introduce EIGEN, a novel method harnessing pre-trained language models to generate event influences based on context, the nature of influence, and their position in a reasoning chain. We present a new dataset tailored for researching and evaluating event influence generation methods. EIGEN surpasses robust baselines, demonstrating superior performance in automated evaluation metrics, achieving a remarkable 10 ROUGE points improvement. Human judgments affirm the excellence of EIGEN in terms of both closeness to reference and the relevance of generated content. Additionally, we showcase that the event influences produced by EIGEN significantly enhance performance on a ""what-if"" Question Answering (WIQA) benchmark, exhibiting an impressive over 3% increase in F1 score. This improvement is particularly notable for questions demanding background knowledge and multi-hop reasoning.']",abstract_chunked," Understanding processes involves the critical task of reasoning about events and tracking their influences. In this paper, we introduce EIGEN, a novel method harnessing pre-trained language models to generate event influences based on context, the nature of influence, and their position in a reasoning chain. We present a new dataset tailored for researching and evaluating event influence generation methods. EIGEN surpasses robust baselines, demonstrating superior performance in automated evaluation metrics, achieving a remarkable 10 ROUGE points improvement. Human judgments affirm the excellence of EIGEN in terms of both closeness to reference and the relevance of generated content. Additionally, we showcase that the event influences produced by EIGEN significantly enhance performance on a ""what-if"" Question Answering (WIQA) benchmark, exhibiting an impressive over 3% increase in F1 score. This improvement is particularly notable for questions demanding background knowledge and multi-hop reasoning."
6,GPT-3.5,"[' Recent advancements in adapting transformers for large-scale image classification have challenged the longstanding dominance of convolutional neural networks (CNNs). This paper focuses on building and optimizing deeper transformer networks specifically tailored for image classification tasks. Through a thorough exploration of the interplay between architecture and optimization strategies, two key modifications are introduced, resulting in a significant improvement in the accuracy of deep transformers. These architectural enhancements not only prevent early saturation of performance with increased depth but also lead to the development of models achieving a remarkable 86.5% top-1 accuracy on ImageNet without external data. This accomplishment establishes a new state-of-the-art performance, surpassing existing models in terms of both computational efficiency (FLOPs) and model parameters. Furthermore, the proposed model attains superior results on ImageNet with Reassessed labels and ImageNet-V2/match frequency, showcasing its robustness in a setting with no additional training data. The code and models developed in this study are shared with the research community.']",abstract_chunked," Recent advancements in adapting transformers for large-scale image classification have challenged the longstanding dominance of convolutional neural networks (CNNs). This paper focuses on building and optimizing deeper transformer networks specifically tailored for image classification tasks. Through a thorough exploration of the interplay between architecture and optimization strategies, two key modifications are introduced, resulting in a significant improvement in the accuracy of deep transformers. These architectural enhancements not only prevent early saturation of performance with increased depth but also lead to the development of models achieving a remarkable 86.5% top-1 accuracy on ImageNet without external data. This accomplishment establishes a new state-of-the-art performance, surpassing existing models in terms of both computational efficiency (FLOPs) and model parameters. Furthermore, the proposed model attains superior results on ImageNet with Reassessed labels and ImageNet-V2/match frequency, showcasing its robustness in a setting with no additional training data. The code and models developed in this study are shared with the research community."
7,GPT-3.5,"[' This paper introduces a straightforward architecture designed to tackle unpaired image-to-image translation tasks, encompassing challenges such as style or class transfer, denoising, deblurring, deblocking, among others. Our approach builds upon a fixed-weight image autoencoder architecture. We introduce a task-specific residual block operating in the latent space, iteratively applied until the desired transformation is achieved. A carefully designed training schedule mitigates the exponentiation effect of iterations. During testing, our method offers several advantages, including limited weight parameters and a compositional design enabling the modulation of transformation strength based on the number of iterations. This flexibility proves valuable, especially when the type or amount of noise to suppress is unknown a priori. Experimental validations demonstrate the efficacy of our approach through proof-of-concept applications, showcasing comparable or superior performance to CycleGAN with significantly fewer parameters.']",abstract_chunked," This paper introduces a straightforward architecture designed to tackle unpaired image-to-image translation tasks, encompassing challenges such as style or class transfer, denoising, deblurring, deblocking, among others. Our approach builds upon a fixed-weight image autoencoder architecture. We introduce a task-specific residual block operating in the latent space, iteratively applied until the desired transformation is achieved. A carefully designed training schedule mitigates the exponentiation effect of iterations. During testing, our method offers several advantages, including limited weight parameters and a compositional design enabling the modulation of transformation strength based on the number of iterations. This flexibility proves valuable, especially when the type or amount of noise to suppress is unknown a priori. Experimental validations demonstrate the efficacy of our approach through proof-of-concept applications, showcasing comparable or superior performance to CycleGAN with significantly fewer parameters."
8,GPT-3.5,"[' In this paper, we introduce Llama 2, a comprehensive collection of pretrained and fine-tuned large language models (LLMs) with parameter scales ranging from 7 billion to 70 billion. Specifically, we present Llama 2-Chat, a set of fine-tuned models optimized for dialogue applications. Through extensive benchmark testing, we demonstrate that our models consistently outperform existing open-source chat models. Human evaluations on helpfulness and safety suggest that Llama 2-Chat may serve as a viable alternative to closed-source models. We provide a detailed account of our fine-tuning methodology and safety enhancements, aiming to empower the community to build upon our work and contribute to the responsible development of large language models.']",abstract_chunked," In this paper, we introduce Llama 2, a comprehensive collection of pretrained and fine-tuned large language models (LLMs) with parameter scales ranging from 7 billion to 70 billion. Specifically, we present Llama 2-Chat, a set of fine-tuned models optimized for dialogue applications. Through extensive benchmark testing, we demonstrate that our models consistently outperform existing open-source chat models. Human evaluations on helpfulness and safety suggest that Llama 2-Chat may serve as a viable alternative to closed-source models. We provide a detailed account of our fine-tuning methodology and safety enhancements, aiming to empower the community to build upon our work and contribute to the responsible development of large language models."
9,GPT-3.5,"["" The surge in availability of large neuroimaging databases presents unprecedented opportunities for training more efficient machine learning algorithms. However, these databases often exhibit variability stemming from diverse sources such as age, gender, and acquisition parameters. These nuisance variables can significantly impact the performance of classification methods, leading to potential misinterpretation of their behavior. This paper focuses on addressing the challenge of integrating data from different databases. Initial experiments on simulated data demonstrate how interactions with confounding variables, such as age, can pose challenges for the adjustment of data from multiple sources. Subsequently, we compare three strategies for data adjustment and evaluate their efficacy in the context of a Computer-Aided Diagnosis (CAD) system. The CAD system discriminates between healthy and Alzheimer's Disease (AD) subjects based on volumetric characteristics derived from structural MRI.""]",abstract_chunked," The surge in availability of large neuroimaging databases presents unprecedented opportunities for training more efficient machine learning algorithms. However, these databases often exhibit variability stemming from diverse sources such as age, gender, and acquisition parameters. These nuisance variables can significantly impact the performance of classification methods, leading to potential misinterpretation of their behavior. This paper focuses on addressing the challenge of integrating data from different databases. Initial experiments on simulated data demonstrate how interactions with confounding variables, such as age, can pose challenges for the adjustment of data from multiple sources. Subsequently, we compare three strategies for data adjustment and evaluate their efficacy in the context of a Computer-Aided Diagnosis (CAD) system. The CAD system discriminates between healthy and Alzheimer's Disease (AD) subjects based on volumetric characteristics derived from structural MRI."
